City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
173,Manono,CD,71.6,overcast clouds,-7.3,27.4167,Hotel hewa bora
174,Iqaluit,CA,47.93,few clouds,63.7506,-68.5145,Frobisher Inn
175,Kinsale,IE,67.37,few clouds,51.7075,-8.5306,Actons Hotel Kinsale
176,Leningradskiy,RU,51.37,overcast clouds,69.3833,178.4167,Gostinitsa
177,Yatou,CN,77.68,few clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
179,Tuatapere,NZ,46.94,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
180,Tevaitoa,PF,78.64,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
181,Pisco,PE,60.85,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
182,Comodoro Rivadavia,AR,48.06,clear sky,-45.8667,-67.5,Austral Hotel
183,Beira,MZ,62.69,few clouds,-19.8436,34.8389,Beira Terrace Hotel
185,Taganak,PH,77.14,broken clouds,6.0833,118.3,Taganak
186,Roald,NO,61.16,drizzle,62.5833,6.1333,Flem Cabins
187,Sayyan,YE,61.97,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
188,Broken Hill,AU,54.97,few clouds,-31.95,141.4333,Royal Exchange Hotel
189,Bambous Virieux,MU,68.22,light rain,-20.3428,57.7575,Casa Tia Villa
190,Liuzhou,CN,79.21,clear sky,24.3126,109.3892,Linjiang Inn
192,Terra Santa,BR,81.75,broken clouds,-2.1042,-56.4869,Hotel Sarah
193,Maputo,MZ,67.68,clear sky,-25.9653,32.5892,Pestana Rovuma
195,Novo Aripuana,BR,82.15,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
197,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
198,Vardo,NO,53.58,overcast clouds,70.3705,31.1107,Vardø Hotel AS
199,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
200,Saint-Paul,RE,68.36,scattered clouds,-21.0096,55.2707,Boucan Canot
201,Bergen,NO,62.08,overcast clouds,60.392,5.328,Clarion Collection Hotel Havnekontoret
202,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
203,Saqqez,IR,72.86,clear sky,36.2499,46.2735,Saqqez Hotel
204,Palmer,US,83.57,scattered clouds,42.1584,-72.3287,Wedgewood Motel
206,Clinton,US,77.02,few clouds,42.587,-82.9199,River's Edge
207,Puerto Rico,AR,53.08,broken clouds,-26.796,-55.024,Hotel Cabañas del Prado
208,Shenxian,CN,83.17,broken clouds,36.2411,115.6672,Xinhe Hotel
209,Katsuura,JP,84.22,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
210,Itacarambi,BR,72.82,scattered clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
211,Hammerfest,NO,48.65,light rain,70.6634,23.6821,Skytterhuset
212,Kutum,SD,75.25,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
213,Balabac,PH,84.29,broken clouds,7.9868,117.0645,Batalla’s Lodging House
214,Qaanaaq,GL,38.19,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
215,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
216,Labuhan,ID,78.89,broken clouds,-6.8844,112.2051,DoubleFAG
217,Sechura,PE,66.65,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
218,Linxia,CN,71.37,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
219,Hikari,JP,84.18,light rain,33.955,131.95,Hotel Matsubaraya
222,Buta,CD,70.09,light rain,2.7858,24.73,Hôtel BOPANDO
223,Barrow,US,46.42,mist,71.2906,-156.7887,King Eider Inn
224,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Central
226,Kruisfontein,ZA,55.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
227,Buala,SB,83.16,light rain,-8.145,159.5921,Maringe Lagoon Lodge
228,Goshen,US,75.29,clear sky,41.5823,-85.8344,"Holiday Inn Express & Suites Goshen, an IHG Hotel"
229,Sumbe,AO,67.1,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
230,Camacha,PT,67.42,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
231,Bloomfield,US,88.05,few clouds,40.8068,-74.1854,Troy Carroll
233,Vao,NC,68.14,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
234,Ancud,CL,48.7,moderate rain,-41.8697,-73.8203,Hotel Arena Gruesa
235,Eureka,US,75.2,few clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
236,Flagstaff,US,82.53,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
237,Manggar,ID,82.15,overcast clouds,-2.8833,108.2667,Guest Hotel
238,Celestun,MX,81.97,few clouds,20.8667,-90.4,Posada Lilia
239,Zhezkazgan,KZ,67.91,clear sky,47.8043,67.7144,Hotel Zumrat
240,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
241,Nizwa,OM,89.47,overcast clouds,22.9333,57.5333,Orient Apartments
242,Severo-Kurilsk,RU,56.82,overcast clouds,50.6789,156.125,Kak Doma
243,Harper,LR,76.24,overcast clouds,4.375,-7.7169,Screensaver
244,Irbil,IQ,82.22,clear sky,36.1926,44.0106,Erbil International Hotel
247,Sao Felix Do Xingu,BR,82.08,few clouds,-6.6447,-51.995,Rio Xingu Camping
248,Sain Alto,MX,67.32,broken clouds,23.5833,-103.25,Hotel Barraza
251,Kavieng,PG,82.33,light rain,-2.5744,150.7967,Nusa Island Retreat
253,Bubaque,GW,80.42,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
255,Scarborough,GB,63.34,few clouds,54.2797,-0.4044,The Grand Hotel Scarborough
257,Manadhoo,MV,81.25,broken clouds,5.7667,73.3833,Bon Abri maldives
258,Moose Factory,CA,64.38,clear sky,51.2585,-80.6094,Moosonee Lilypad
259,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
260,Byron Bay,AU,61.95,overcast clouds,-28.65,153.6167,Backpackers Inn
261,Kalachinsk,RU,60.3,broken clouds,55.0529,74.5751,"Voskhod, Hotel"
262,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
263,Marrakesh,MA,84.27,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
264,Sokoni,TZ,75.15,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
265,Turukhansk,RU,48.38,few clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
266,Half Moon Bay,US,82.8,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
267,Itum-Kale,RU,66.97,clear sky,42.7356,45.5758,Мини-отель ASTAR
269,Suluq,LY,77.61,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
270,Sistranda,NO,49.96,overcast clouds,63.7256,8.834,Hotell Frøya
271,Honningsvag,NO,51.55,light rain,70.9821,25.9704,Nordkapp Vandrerhjem
272,Ilulissat,GL,41.02,broken clouds,69.2167,-51.1,Hotel Arctic
273,Vila Do Maio,CV,79.59,broken clouds,15.1333,-23.2167,Hotel Marilu
274,Nuzvid,IN,77.72,overcast clouds,16.7833,80.85,HI-TECH LODGE
275,Kaitangata,NZ,44.64,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
276,Karaton,ID,76.12,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
277,Haines Junction,CA,60.53,overcast clouds,60.7522,-137.5108,Parkside Inn
